,Unnamed: 0,gene,eps,pan_cancer_cluster_number,pan_cancer_distribution,TNBC_distribution,cluster_combination,TNBC_distribution_in_this_cluster,centroid_distance,cluster_separation
4109,5099,ICA1,0.1799999999999999,5,"{'-1': 939, '1': 384, '0': 209, '3': 75, '2': 66}","{'-1': 21, '1': 4, '0': 4, '2': 1}","(0, 1)","{0: 4, 1: 4}",4.051148633130771,1.9887852125040737
4977,5967,TFPI,0.1699999999999999,5,"{'-1': 1071, '0': 318, '1': 215, '2': 50, '3': 19}","{'-1': 16, '0': 8, '1': 6}","(0, 1)","{0: 8, 1: 6}",5.101394760593204,2.8196193346042464
4987,5977,TFPI,0.1799999999999999,3,"{'-1': 960, '0': 373, '1': 340}","{'-1': 14, '0': 9, '1': 7}","(0, 1)","{0: 9, 1: 7}",5.239990495200629,2.2342496954463855
4990,5980,TFPI,0.1899999999999999,4,"{'-1': 745, '1': 477, '0': 400, '2': 51}","{'-1': 13, '0': 9, '1': 8}","(0, 1)","{0: 9, 1: 8}",5.332776557816844,1.7881187031946868
4996,5986,TFPI,0.1999999999999999,4,"{'-1': 649, '1': 519, '0': 435, '2': 70}","{'-1': 12, '0': 10, '1': 8}","(0, 1)","{0: 10, 1: 8}",5.276193616599929,1.3754717513408368
14847,3619,DAPP1,0.2299999999999999,5,"{'0': 884, '-1': 593, '1': 134, '3': 32, '2': 30}","{'0': 17, '-1': 7, '1': 5, '2': 1}","(0, 1)","{0: 17, 1: 5}",3.498537946439569,1.6397700590698083
14857,3629,DAPP1,0.2399999999999999,5,"{'0': 891, '-1': 559, '1': 156, '2': 37, '3': 30}","{'0': 17, '-1': 6, '1': 6, '2': 1}","(0, 1)","{0: 17, 1: 6}",3.5137082603600573,1.4607557995846796
14867,3639,DAPP1,0.2499999999999999,5,"{'0': 935, '-1': 478, '1': 184, '2': 46, '3': 30}","{'0': 17, '1': 7, '-1': 5, '2': 1}","(0, 1)","{0: 17, 1: 7}",3.4784464907088393,1.3088192158342624
14877,3649,DAPP1,0.2599999999999999,6,"{'0': 947, '-1': 398, '1': 229, '2': 55, '3': 30, '4': 14}","{'0': 17, '1': 7, '-1': 3, '2': 2, '4': 1}","(0, 1)","{0: 17, 1: 7}",3.5254640711512173,1.0517614276897416
22614,43,CYBRD1,0.1999999999999999,3,"{'-1': 727, '1': 668, '0': 278}","{'1': 16, '-1': 11, '0': 3}","(0, 1)","{0: 3, 1: 16}",4.333687827551519,1.1684536142256443
