,Drug,Correlation,P-value,CCLE_model_state,State_description,Salient_representative_genes
0,CIL56,0.11503283757822944,0.7682257942638702,F0,partial-EMT & NOTCH signaling,"['ELF3', 'GRHL2', 'CLDN4', 'DSP', 'CGN', 'DSC2', 'ALDH1A3', 'JAG2', 'NOTCH1', 'HES4', 'HEY2', 'NOTCH2', 'NOTCH3']"
1,FQI-1,-0.09159189575805393,0.8147100304083483,F0,partial-EMT & NOTCH signaling,"['ELF3', 'GRHL2', 'CLDN4', 'DSP', 'CGN', 'DSC2', 'ALDH1A3', 'JAG2', 'NOTCH1', 'HES4', 'HEY2', 'NOTCH2', 'NOTCH3']"
2,BRD-K92856060,0.2525348610140274,0.31201352944486777,F0,partial-EMT & NOTCH signaling,"['ELF3', 'GRHL2', 'CLDN4', 'DSP', 'CGN', 'DSC2', 'ALDH1A3', 'JAG2', 'NOTCH1', 'HES4', 'HEY2', 'NOTCH2', 'NOTCH3']"
3,B02,0.20424480580525975,0.4479957438114819,F0,partial-EMT & NOTCH signaling,"['ELF3', 'GRHL2', 'CLDN4', 'DSP', 'CGN', 'DSC2', 'ALDH1A3', 'JAG2', 'NOTCH1', 'HES4', 'HEY2', 'NOTCH2', 'NOTCH3']"
4,BRD6340,0.19913471235548286,0.4435352184494074,F0,partial-EMT & NOTCH signaling,"['ELF3', 'GRHL2', 'CLDN4', 'DSP', 'CGN', 'DSC2', 'ALDH1A3', 'JAG2', 'NOTCH1', 'HES4', 'HEY2', 'NOTCH2', 'NOTCH3']"
5,BRD-K45681478,-0.06467381564857941,0.8052153140877363,F0,partial-EMT & NOTCH signaling,"['ELF3', 'GRHL2', 'CLDN4', 'DSP', 'CGN', 'DSC2', 'ALDH1A3', 'JAG2', 'NOTCH1', 'HES4', 'HEY2', 'NOTCH2', 'NOTCH3']"
6,ML050,-0.009013105329420271,0.9726126007984756,F0,partial-EMT & NOTCH signaling,"['ELF3', 'GRHL2', 'CLDN4', 'DSP', 'CGN', 'DSC2', 'ALDH1A3', 'JAG2', 'NOTCH1', 'HES4', 'HEY2', 'NOTCH2', 'NOTCH3']"
7,ML162,-0.3567518807954623,0.15982898961704384,F0,partial-EMT & NOTCH signaling,"['ELF3', 'GRHL2', 'CLDN4', 'DSP', 'CGN', 'DSC2', 'ALDH1A3', 'JAG2', 'NOTCH1', 'HES4', 'HEY2', 'NOTCH2', 'NOTCH3']"
8,CIL41,0.08733976355806662,0.8232000737146468,F0,partial-EMT & NOTCH signaling,"['ELF3', 'GRHL2', 'CLDN4', 'DSP', 'CGN', 'DSC2', 'ALDH1A3', 'JAG2', 'NOTCH1', 'HES4', 'HEY2', 'NOTCH2', 'NOTCH3']"
9,ML006,0.3673521612140818,0.1337007355194399,F0,partial-EMT & NOTCH signaling,"['ELF3', 'GRHL2', 'CLDN4', 'DSP', 'CGN', 'DSC2', 'ALDH1A3', 'JAG2', 'NOTCH1', 'HES4', 'HEY2', 'NOTCH2', 'NOTCH3']"
10,CIL55,-0.3739089931320228,0.36152424748448303,F0,partial-EMT & NOTCH signaling,"['ELF3', 'GRHL2', 'CLDN4', 'DSP', 'CGN', 'DSC2', 'ALDH1A3', 'JAG2', 'NOTCH1', 'HES4', 'HEY2', 'NOTCH2', 'NOTCH3']"
11,NSC30930,0.13617334696826636,0.6022766843296333,F0,partial-EMT & NOTCH signaling,"['ELF3', 'GRHL2', 'CLDN4', 'DSP', 'CGN', 'DSC2', 'ALDH1A3', 'JAG2', 'NOTCH1', 'HES4', 'HEY2', 'NOTCH2', 'NOTCH3']"
12,Bax channel blocker,-0.6265148574608084,0.009407451045501615,F0,partial-EMT & NOTCH signaling,"['ELF3', 'GRHL2', 'CLDN4', 'DSP', 'CGN', 'DSC2', 'ALDH1A3', 'JAG2', 'NOTCH1', 'HES4', 'HEY2', 'NOTCH2', 'NOTCH3']"
13,CIL70,-0.6762244513699387,0.0455155370118547,F0,partial-EMT & NOTCH signaling,"['ELF3', 'GRHL2', 'CLDN4', 'DSP', 'CGN', 'DSC2', 'ALDH1A3', 'JAG2', 'NOTCH1', 'HES4', 'HEY2', 'NOTCH2', 'NOTCH3']"
14,MI-1,-0.22905999587188267,0.3934666870744751,F0,partial-EMT & NOTCH signaling,"['ELF3', 'GRHL2', 'CLDN4', 'DSP', 'CGN', 'DSC2', 'ALDH1A3', 'JAG2', 'NOTCH1', 'HES4', 'HEY2', 'NOTCH2', 'NOTCH3']"
15,BRD9876,0.24476829600123107,0.36089507073755894,F0,partial-EMT & NOTCH signaling,"['ELF3', 'GRHL2', 'CLDN4', 'DSP', 'CGN', 'DSC2', 'ALDH1A3', 'JAG2', 'NOTCH1', 'HES4', 'HEY2', 'NOTCH2', 'NOTCH3']"
16,DBeQ,0.28221033982530197,0.272443524103135,F0,partial-EMT & NOTCH signaling,"['ELF3', 'GRHL2', 'CLDN4', 'DSP', 'CGN', 'DSC2', 'ALDH1A3', 'JAG2', 'NOTCH1', 'HES4', 'HEY2', 'NOTCH2', 'NOTCH3']"
17,mdivi-1,-0.07055811863113516,0.787857129100941,F0,partial-EMT & NOTCH signaling,"['ELF3', 'GRHL2', 'CLDN4', 'DSP', 'CGN', 'DSC2', 'ALDH1A3', 'JAG2', 'NOTCH1', 'HES4', 'HEY2', 'NOTCH2', 'NOTCH3']"
18,tretinoin,0.06692807521196989,0.7985548196416942,F0,partial-EMT & NOTCH signaling,"['ELF3', 'GRHL2', 'CLDN4', 'DSP', 'CGN', 'DSC2', 'ALDH1A3', 'JAG2', 'NOTCH1', 'HES4', 'HEY2', 'NOTCH2', 'NOTCH3']"
19,betulinic-acid,0.10035442189599225,0.7115380213846789,F0,partial-EMT & NOTCH signaling,"['ELF3', 'GRHL2', 'CLDN4', 'DSP', 'CGN', 'DSC2', 'ALDH1A3', 'JAG2', 'NOTCH1', 'HES4', 'HEY2', 'NOTCH2', 'NOTCH3']"
20,phloretin,0.05311553551973365,0.8451076795422781,F0,partial-EMT & NOTCH signaling,"['ELF3', 'GRHL2', 'CLDN4', 'DSP', 'CGN', 'DSC2', 'ALDH1A3', 'JAG2', 'NOTCH1', 'HES4', 'HEY2', 'NOTCH2', 'NOTCH3']"
21,thalidomide,-0.0069186365513709686,0.9870279704328029,F0,partial-EMT & NOTCH signaling,"['ELF3', 'GRHL2', 'CLDN4', 'DSP', 'CGN', 'DSC2', 'ALDH1A3', 'JAG2', 'NOTCH1', 'HES4', 'HEY2', 'NOTCH2', 'NOTCH3']"
22,gossypol,-0.07719831026753482,0.7607730645331223,F0,partial-EMT & NOTCH signaling,"['ELF3', 'GRHL2', 'CLDN4', 'DSP', 'CGN', 'DSC2', 'ALDH1A3', 'JAG2', 'NOTCH1', 'HES4', 'HEY2', 'NOTCH2', 'NOTCH3']"
23,chlorambucil,-0.04914547228792348,0.8464469918779304,F0,partial-EMT & NOTCH signaling,"['ELF3', 'GRHL2', 'CLDN4', 'DSP', 'CGN', 'DSC2', 'ALDH1A3', 'JAG2', 'NOTCH1', 'HES4', 'HEY2', 'NOTCH2', 'NOTCH3']"
