,DepMap_ID,stripped_cell_line_name,lineage_molecular_subtype
95763,ACH-001390,SUM149PT,basal_B
96335,ACH-001391,SUM159PT,basal_B
96665,ACH-001394,SUM229PE,basal
140256,ACH-000374,HCC1143,basal_A
140526,ACH-000699,HCC1395,basal_B
185726,ACH-000721,HMC18,basal_B
188729,ACH-000148,HS578T,basal_B
238198,ACH-000573,MDAMB436,basal_B
416906,ACH-000536,BT20,basal_A
419259,ACH-000212,CAL120,basal_B
419469,ACH-000856,CAL51,basal_B
420524,ACH-000857,CAL851,basal_A
439631,ACH-000111,HCC1187,basal_A
442973,ACH-000196,HCC1599,basal_A
443761,ACH-000223,HCC1937,basal_A
445040,ACH-000691,HCC2157,basal_A
445500,ACH-000276,HCC38,basal_A
445808,ACH-000668,HCC70,basal_A
446659,ACH-000643,HDQP1,basal_A
492140,ACH-000621,MDAMB157,basal_B
492984,ACH-000768,MDAMB231,basal_B
557971,ACH-000288,BT549,basal_B
634793,ACH-000624,HCC1806,basal_A
711671,ACH-000849,MDAMB468,basal_A
1212,ACH-001388,SUM102PT,basal
1213,ACH-001389,SUM1315MO2,basal
,ACH-002322,HCC2185,basal
,ACH-001392,SUM185PE,basal
,ACH-000910,MDAMB453,Basal
,ACH-001819,MFM223,basal
,ACH-000258,DU4475,basal
